scene_id,position,mean,var,std,max,min
3人,1,33.295507,368.994838,19.209238,66.66,0.01
3人,2,33.36686,493.847058,22.22267,99.68,0.01
3人,3,33.337633,490.451095,22.14613,99.8,0
5人,1,20.133165,134.387424,11.592559,40,0.01
5人,2,19.963796,143.49345,11.978875,49.8,0.01
5人,3,19.957821,164.278989,12.817137,64.76,0.01
5人,4,20.026473,210.995898,14.525698,90.87,0.01
5人,5,19.918745,210.114369,14.495322,93.87,0
8人,1,12.438406,52.137353,7.22062,25,0.01
8人,2,12.535907,53.677345,7.326482,28.5,0.01
8人,3,12.513334,55.279134,7.434994,32.66,0.01
8人,4,12.510343,57.917206,7.610335,38.61,0.01
8人,5,12.512783,62.16744,7.884633,47.14,0.01
8人,6,12.485046,70.708214,8.408818,53,0.01
8人,7,12.493387,88.726105,9.419454,66.45,0.01
8人,8,12.510795,90.014281,9.487586,76.6,0
10人,1,10.025221,33.18058,5.760259,20,0.01
10人,2,10.004977,33.678653,5.803331,22.13,0.01
10人,3,10.034487,34.384574,5.863836,24.65,0.01
10人,4,10.0141,35.619971,5.968247,27.02,0.01
10人,5,9.97841,36.69398,6.057556,31.2,0.01
10人,6,10.03324,38.534482,6.207615,33.51,0.01
10人,7,9.932893,41.178599,6.417055,40.62,0.01
10人,8,9.991226,46.91188,6.849225,48.86,0.01
10人,9,10.005712,59.138604,7.690163,62.78,0.01
10人,10,9.979734,59.047387,7.68423,64.72,0
